Data File Name,Eukaryote Total RNA Nano_2023-12-07_15-03-29.xad
Data File Path,C:\Users\racha\OneDrive\Desktop\CAGE\bioanalyzer\bioanalyzer xad files
Date Created,"Thursday, December 7, 2023 11:03:29 PM"
Date Last Modified,"Thursday, December 7, 2023 11:44:05 PM"
Version Created,B.02.11.SI824
Version Last Modified,B.02.11.SI824
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,OLE_01
Number of Events,1060
 
Time,Value
17,-2.571437E-02
17.05,-2.860723E-02
17.1,-2.137632E-02
17.15,-2.219539E-02
17.2,-0.0316303
17.25,-0.051194
17.3,-6.767542E-02
17.35,-6.159172E-02
17.4,-5.156648E-02
17.45,-4.912905E-02
17.5,-5.946732E-02
17.55,-9.561867E-02
17.6,-0.1236918
17.65,-0.1287031
17.7,-0.1060603
17.75,-8.092384E-02
17.8,-7.119842E-02
17.85,-6.840495E-02
17.9,-6.718988E-02
17.95,-0.0492014
18,-1.233208E-02
18.05,2.467981E-02
18.1,0.0622912
18.15,8.934125E-02
18.2,9.731718E-02
18.25,0.0947751
18.3,8.205966E-02
18.35,5.947516E-02
18.4,3.660707E-02
18.45,2.933514E-02
18.5,3.420089E-02
18.55,0.0351899
18.6,3.577154E-02
18.65,4.069976E-02
18.7,2.589035E-02
18.75,-5.42883E-03
18.8,-0.0282087
18.85,-4.424563E-02
18.9,-5.268016E-02
18.95,-5.142181E-02
19,-4.098637E-02
19.05,-2.560685E-02
19.1,-1.816462E-02
19.15,-8.840736E-03
19.2,5.950619E-03
19.25,1.429718E-02
19.3,1.660631E-03
19.35,-1.333952E-02
19.4,-4.163262E-03
19.45,5.32197E-03
19.5,2.026633E-02
19.55,3.910808E-02
19.6,5.814895E-02
19.65,6.610688E-02
19.7,5.183705E-02
19.75,4.515639E-02
19.8,3.664381E-02
19.85,0.0224014
19.9,2.111027E-02
19.95,2.393171E-02
20,2.590309E-02
20.05,1.770588E-02
20.1,5.400489E-03
20.15,1.377191E-04
20.2,-8.520149E-04
20.25,2.651222E-02
20.3,5.273647E-02
20.35,5.491601E-02
20.4,3.968552E-02
20.45,1.630125E-02
20.5,3.235284E-03
20.55,8.010739E-03
20.6,2.845759E-02
20.65,4.409731E-02
20.7,3.104118E-02
20.75,2.48551E-03
20.8,-1.235251E-02
20.85,-3.994611E-04
20.9,2.154223E-02
20.95,3.480674E-02
21,4.853374E-02
21.05,6.051122E-02
21.1,4.565426E-02
21.15,2.305708E-02
21.2,8.132088E-03
21.25,-1.128083E-02
21.3,-4.516654E-03
21.35,1.812791E-02
21.4,5.604426E-02
21.45,7.832009E-02
21.5,7.692335E-02
21.55,5.774834E-02
21.6,3.669852E-02
21.65,1.674517E-02
21.7,3.730696E-02
21.75,0.0319389
21.8,3.329173E-02
21.85,3.411587E-02
21.9,3.090817E-02
21.95,6.493913E-02
22,0.100128
22.05,9.318914E-02
22.1,2.775953E-02
22.15,1.417702E-02
22.2,0.7422863
22.25,3.067289
22.3,7.165428
22.35,12.29794
22.4,16.98835
22.45,19.81202
22.5,20.06737
22.55,18.05214
22.6,14.87058
22.65,11.46912
22.7,8.444571
22.75,5.954397
22.8,3.972931
22.85,2.489956
22.9,1.477672
22.95,0.8320315
23,0.4777329
23.05,0.2671599
23.1,0.2192027
23.15,0.1740684
23.2,0.1467957
23.25,0.1333696
23.3,9.481247E-02
23.35,6.067983E-02
23.4,2.108204E-02
23.45,-9.063954E-03
23.5,7.334666E-03
23.55,7.140039E-03
23.6,2.823543E-02
23.65,3.341736E-02
23.7,3.273441E-02
23.75,3.071594E-02
23.8,1.690815E-02
23.85,4.324378E-02
23.9,6.044495E-02
23.95,6.986317E-02
24,7.860718E-02
24.05,0.073296
24.1,0.0481669
24.15,3.202019E-02
24.2,3.161206E-02
24.25,0.0501976
24.3,5.259152E-02
24.35,5.151245E-02
