Data File Name,Eukaryote Total RNA Nano_2024-04-02_15-17-51.xad
Data File Path,C:\Users\racha\OneDrive\Desktop\CAGE\bioanalyzer\bioanalyzer xad files
Date Created,"Tuesday, April 2, 2024 10:17:50 PM"
Date Last Modified,"Tuesday, April 2, 2024 10:59:59 PM"
Version Created,B.02.11.SI824
Version Last Modified,B.02.11.SI824
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-0.1130958
17.05,-8.470213E-02
17.1,-5.499989E-02
17.15,-6.134656E-02
17.2,-9.439168E-02
17.25,-0.1257614
17.3,-0.1393639
17.35,-0.1506673
17.4,-0.1463761
17.45,-0.117781
17.5,-0.0965004
17.55,-6.547163E-02
17.6,-5.376989E-02
17.65,-5.840296E-02
17.7,-0.0639089
17.75,-5.529179E-02
17.8,-4.923653E-02
17.85,-2.876104E-02
17.9,-1.977358E-02
17.95,-1.363527E-02
18,-1.922913E-02
18.05,-2.089228E-02
18.1,-2.667265E-02
18.15,-3.224397E-02
18.2,-3.737035E-02
18.25,-3.337118E-02
18.3,-1.571379E-02
18.35,-9.632357E-03
18.4,2.034231E-03
18.45,2.006323E-02
18.5,5.622206E-02
18.55,5.177428E-02
18.6,3.305821E-02
18.65,3.034964E-02
18.7,-0.0117284
18.75,-5.514145E-02
18.8,-5.712853E-02
18.85,-4.779468E-02
18.9,-3.723516E-02
18.95,-2.178185E-02
19,1.967923E-02
19.05,3.537634E-02
19.1,2.531416E-02
19.15,1.851942E-02
19.2,-1.328543E-02
19.25,-0.0403683
19.3,-0.0497796
19.35,-0.0360779
19.4,-2.162205E-02
19.45,-4.732443E-03
19.5,1.058285E-02
19.55,2.745881E-02
19.6,4.535493E-02
19.65,4.802472E-02
19.7,4.635394E-02
19.75,4.900766E-02
19.8,0.0435636
19.85,2.827247E-02
19.9,1.943581E-02
19.95,1.167894E-02
20,-4.419962E-03
20.05,-2.912202E-02
20.1,-4.880236E-02
20.15,-5.201522E-02
20.2,-5.331304E-02
20.25,-3.644485E-02
20.3,-7.850979E-03
20.35,-3.135026E-03
20.4,-1.226353E-02
20.45,-3.572435E-02
20.5,-4.598985E-02
20.55,-2.937022E-02
