frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.645840201747157892e+02,8.953211967047474573e+00,-1.824840773210925290e-02,1.561442467461369688e+03,2.174835627978388697e-02,nan,1.621098355472164343e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.222447398694259419e+02,2.387854765902483933e+01,-1.118343022122829551e-02,9.409387455995437222e+02,3.181817392417640722e-02,nan,1.865171677793706451e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.423588685234018669e+02,3.228869087647074565e+01,-1.517923159727485767e-02,1.291882484888011959e+03,1.361319989083985549e-01,nan,5.512925265298117772e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.421675869051952077e+02,3.779829669933126723e+01,-1.277025056731092775e-02,1.080306199940890565e+03,2.395572427667133075e-01,nan,5.512925265298117772e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.696271193071658843e+02,4.100396438401163124e+01,-1.299693184804954355e-02,1.100215191605490645e+03,2.178523507883467492e-02,nan,2.300921823576346270e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.031648648417129266e+01,5.142057395882766713e+01,-9.605953404451491803e-03,8.023919159099616536e+02,3.219047992398904601e-02,nan,1.605959575087611668e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.241381150558441391e+02,7.444468843391960888e+01,-8.762947881129924330e-03,7.283523221581785947e+02,5.361207722836558442e-02,nan,1.783031163790980500e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.792935784465436200e+01,7.717047246027053120e+01,-1.023242101922665695e-02,8.574133913492257761e+02,2.816561701403341722e-02,nan,3.098880357121396045e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.631898214161914495e+02,8.246646711163644738e+01,-5.818797186589013890e-03,4.697730894753958637e+02,1.202562219213970662e-01,nan,3.446833453450366136e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.096301599040192798e+01,9.243881728788286978e+01,-3.339127170122779906e-03,2.519883234465208659e+02,2.073903864044617240e-01,nan,1.255395848733038200e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.968157983780119764e+02,1.007612241604409320e+02,-9.301168174575347516e-03,7.756232009047984093e+02,4.569066433283197615e-02,nan,2.308585834071566367e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.324898574022136444e+01,1.023431401320208636e+02,-1.174636802248840185e-02,9.903805166909074842e+02,2.583610882890352567e-02,nan,1.255395848733038200e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.826517498407184092e+01,1.057291476878992711e+02,-1.118702778427481045e-02,9.412547128133894603e+02,2.529697228137928189e-02,nan,2.427877997346974581e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.150836361625340203e+02,1.148765689315040817e+02,-8.660422971412017751e-03,7.193477516601791422e+02,3.795979713810171408e-02,nan,2.027245225135856543e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.665350600261875513e+01,1.196299027265730928e+02,-1.147145889735943190e-02,9.662357639222558419e+02,2.499872743631792460e-02,nan,1.682218304588241864e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.307962835428501194e+02,1.225604671183168932e+02,-1.248259336425230903e-02,1.055041807401305732e+03,1.972667143197381900e-02,nan,1.311084455676322236e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.552935887309927807e+02,1.235588642811765823e+02,-9.455090657079752783e-03,7.891419238059114605e+02,3.525195577628592591e-02,nan,1.713786445682286796e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.125797831557839856e+01,1.317075571231540891e+02,-5.126552738600494499e-03,4.089745581632274707e+02,8.763628091607356119e-02,nan,3.043703249827876789e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.076220824008989325e+02,1.337259067380648787e+02,-6.763413149892797196e-03,5.527369375637111943e+02,5.437358456588547995e-02,nan,2.027245225135856543e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.658752709873813558e+01,1.526922793898827706e+02,-9.458468907578844800e-03,7.894386292101169147e+02,5.255698739127789842e-02,nan,2.127002199185263365e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.078061549579586540e+02,1.541700030804980202e+02,-1.306852546424545902e-02,1.106503124616274363e+03,2.010566205091257608e-02,nan,1.920978065768549570e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.841588295605803012e+02,2.316430292613076247e+01,-1.228127289610056461e-02,1.037360208332840102e+03,2.508977698998160477e-02,nan,1.994145347464753470e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.720808377244926035e+01,1.273439549028159519e+02,-1.790789748899804246e-02,1.531536091558945145e+03,1.973816068031863935e-02,nan,2.427877997346974581e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.195379147396472064e+02,1.292793492338682029e+02,-1.287433747292575890e-02,1.089447957608429078e+03,1.425044598678065766e-01,nan,6.257151172952058360e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.022609074885259588e+02,1.357779965717144250e+02,-1.196964081810212785e-02,1.009990147500834382e+03,3.609846647718949475e-01,nan,6.306595194761948520e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.075926287355032827e+02,1.324096302770360865e+02,-1.384619258269636534e-02,1.174804168834061102e+03,1.833257636687151138e-01,nan,6.306595194761948520e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.165715953257423934e+02,6.110543557526762370e+00,-1.132081676105744367e-02,9.530051476746261869e+02,3.406282911006264236e-02,nan,6.451432722537205677e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.058879828690012204e+01,8.116310638664682386e+00,-2.102602577752976654e-02,1.805395449964081990e+03,1.389078829540491000e-02,nan,1.183929397943126816e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.707238128094053309e+02,1.161013457240149478e+02,-1.350020823966807670e-02,1.144417013004572482e+03,2.100703810777027059e-02,nan,1.713786445682286796e+01,1.000000000000000000e+00
7.000000000000000000e+00,8.898467333799500523e+01,3.543931517252870123e+01,-1.344371889419572648e-02,1.139455659757920557e+03,2.401903205762478954e-02,nan,2.457441419045293074e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.138790788341390225e+01,3.807175004615073988e+01,-1.178218364308276055e-02,9.935261354625686181e+02,2.057985723261546163e-02,nan,1.605959575087611668e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.763490599889349042e+01,1.574191822787767308e+02,-1.246515303279796191e-02,1.053510055805315460e+03,1.217176677504892002e-01,nan,2.906215043540290921e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.836361302975612375e+02,1.573318320099026266e+02,-1.157863491006216362e-02,9.756488320705879005e+02,2.986419841343967985e-02,nan,1.319646386581161757e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.156949273737918702e+02,1.342173031529577258e+02,-1.160713357370461198e-02,9.781518162387600341e+02,1.603935795264329611e-01,nan,6.257151172952058360e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.710848414967918814e+02,1.532560734300363663e+02,-1.334473596162535219e-02,1.130762174468530475e+03,2.622925742277415484e-02,nan,1.319646386581161757e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.049573717461124431e+02,1.467146071989707323e+01,-1.310617720916944749e-02,1.109810006743492067e+03,2.816573595241789185e-02,nan,1.405561674065604016e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.503903737051495284e+02,1.678496705185603943e+01,-7.504395642358331099e-03,6.178160398964777187e+02,5.587448528817806626e-02,nan,1.621098355472164343e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.217588736035267871e+01,5.141202643443762099e+01,-1.237860524641634305e-02,1.045908726079072721e+03,2.325596003517649280e-02,nan,1.376693310487970834e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.183204858927714014e+02,5.813557094236689693e+01,-1.407055104933300181e-02,1.194509152093361763e+03,1.752131196831929749e-02,nan,1.192290600850189541e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.209997486835657128e+02,7.405971316312977137e+01,-1.334692624820199743e-02,1.130954543229883257e+03,2.434632898971833548e-02,nan,1.183625149633253315e+01,1.000000000000000000e+00
1.100000000000000000e+01,9.546521233670718587e+00,8.761045472799089850e+01,-1.474455159441744392e-02,1.253705355636499007e+03,1.727857915071052686e-01,nan,6.079533284167490947e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.452696732285126870e+02,1.275026534186724234e+02,-1.326438725731342826e-02,1.123705298491850044e+03,2.392677762909067862e-02,nan,1.962014665924755263e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.544894406169207102e+01,8.615370158742356921e+01,-1.284575442436965663e-02,1.086937562071585035e+03,2.166197013352217926e-01,nan,6.079533284167490947e+00,1.000000000000000000e+00
1.100000000000000000e+01,3.539763906100866109e+01,9.017302192944785588e+01,-2.051760091838676983e-03,1.389212878830823570e+02,2.976553145050576665e-01,nan,1.028775462885719882e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.104006527513722347e+01,9.999041466207258111e+01,-1.098391045625044492e-02,9.234152989129717071e+02,3.252539361147155361e-02,nan,1.846799117205358698e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.189966389069437156e+02,1.105990089391336397e+02,-1.336312232445894567e-02,1.132377014225936136e+03,1.489000505349580283e-02,nan,1.292924629471494491e+01,1.000000000000000000e+00
