frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,2.157406509969929971e+02,6.444442777800404976e+00,-4.375496604422969560e-03,4.296756502550907157e+02,2.045134073523443563e-01,nan,1.381178965009523729e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.975255495190381794e+01,1.075241126044400630e+01,-3.602634864057045923e-03,3.659303516269059173e+02,1.633312335215083566e-01,nan,7.699487078492460057e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.010622496520232971e+01,1.519730011451530771e+01,-4.265780509467437254e-03,4.206263146857722859e+02,1.351847208532036548e-01,nan,5.760794887737347381e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.808403412486991328e+02,2.140782933026999402e+01,-4.347914556098612070e-03,4.274006949618183171e+02,1.290900891192914290e-01,nan,1.065726401573837023e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.189531900769650434e+02,2.335772783829647281e+01,-4.962462949891568130e-03,4.780883779428072557e+02,2.027758081341013430e-01,nan,6.152006029799750308e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.488624889915604044e+01,2.537319969792659080e+01,-5.436497036421011377e-03,5.171865022612024632e+02,9.101366002715116643e-02,nan,1.069894927368195781e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.134066455992167306e+02,2.601912268819232921e+01,-4.509492513412494304e-03,4.407275742763887365e+02,1.880009246996577899e-01,nan,6.152006029799750308e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.080625789355350435e+02,2.797554622756275933e+01,-5.276214609156498238e-03,5.039664776989965844e+02,1.494559210988707365e-01,nan,1.517277574834990617e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.846212165497131075e+00,3.105561897188447418e+01,-5.233794871248006846e-03,5.004677162524462233e+02,1.340343442364686499e-01,nan,8.591889002228908723e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.932963952452689966e+02,3.146452073807957106e+01,-5.017623751139860949e-03,4.826380167261652332e+02,2.012018569690763314e-01,nan,1.369997771978251322e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.110095406564225584e+01,3.226813265033297995e+01,-4.656426330173050326e-03,4.528466112771671419e+02,9.622493212693705722e-02,nan,1.187343839892933417e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.210074885817594321e+02,3.640667797225621172e+01,-5.051992385836955209e-03,4.854727266979281239e+02,1.643748234637728567e-01,nan,8.246392403004008997e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.325377444228153649e+02,3.824372357759537522e+01,-6.537191259800267593e-03,6.079712808354508979e+02,8.753227754429915297e-02,nan,1.167568140693725809e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.158817941911592726e+02,4.286657307035898867e+01,-3.824137365979351447e-03,3.841997811955661177e+02,3.354427804948844072e-01,nan,6.113525198433031882e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.741900803004032241e+02,4.958040516515426077e+01,-4.216123188091661610e-03,4.165306005174453503e+02,1.215861660503905206e-01,nan,6.304404314577900514e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.328217888296376543e+02,6.226837172935738351e+01,-4.826119895225831208e-03,4.668428623717668984e+02,9.830941824752503777e-02,nan,1.164841951471164982e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.676359240562337050e+01,6.388594518961230762e+01,-6.073536253129457538e-03,5.697292184884519202e+02,2.752480950397216963e-01,nan,6.405567332998711727e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.203888786507424413e+01,6.821127290691821088e+01,-6.993761932908056610e-03,6.456290304458115088e+02,2.166260971764254473e-01,nan,6.405567332998711727e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.100970551788360439e+02,7.130260631317875664e+01,-5.971228097097574204e-03,5.612908864845109065e+02,6.918888303815307061e-02,nan,1.515726386794437630e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.795296183333259421e+01,7.342587898640664434e+01,-5.871978235800429449e-03,5.531048012939088494e+02,5.626622046420537426e-02,nan,8.473308737352734710e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.862802753371196900e+02,8.594041933508565023e+01,-6.573884634179593713e-03,6.109977343203634064e+02,1.059709131318755659e-01,nan,1.467977092893530688e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.266974078257355529e+02,8.701645058496303875e+01,-4.628056294174348259e-03,4.505066631048415502e+02,9.249330577060110858e-02,nan,7.658238703903883504e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.205174008988031176e+01,9.195574015582838001e+01,-5.329392674927513687e-03,5.083525813265841862e+02,9.660883389882224392e-02,nan,1.926632757742644841e+01,1.000000000000000000e+00
