frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,5.254445438209017993e+00,6.697406917781032476e+00,-1.095957238264211320e-02,1.011794043760803902e+03,5.289926368953679070e-02,nan,3.876721280506885847e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.074405300868252198e+02,1.485131849667378390e+01,-6.545617992075404568e-03,5.832485904068718128e+02,8.251574001390815649e-02,nan,3.216581715819478404e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.723468364921887428e+02,1.624858658477086593e+01,-5.706663135916893899e-03,5.017954856932610710e+02,9.980753644557416315e-02,nan,1.966600855621646105e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.324708652073037740e+01,2.190771833503659494e+01,-5.441000738684039807e-03,4.760026472569244333e+02,8.432013480408251382e-02,nan,2.871848230701580817e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.466970568548044298e+02,3.444103353171698956e+01,-4.719327051059682247e-03,4.059362282885859372e+02,1.831685268462123206e-01,nan,7.598947545781658874e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.177924916790774006e+02,3.681658521454730248e+01,-6.239215763387228643e-03,5.535003713762326925e+02,7.544688350577555269e-02,nan,2.455395732157079181e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.917566480392627568e+02,4.347402883100627236e+01,-1.154055704019172658e-02,1.068201136229494296e+03,1.988026956282074043e-02,nan,1.251362214701121189e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.363568335763039308e+01,4.454779185124700547e+01,-7.273099077155511030e-03,6.538788425178452144e+02,6.186862110841984119e-02,nan,1.372587476454588362e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.964315164213323328e+02,5.525057904013735310e+01,-1.183309333868670654e-02,1.096603128993383507e+03,3.433430563913730804e-02,nan,4.686779159822815011e+00,1.000000000000000000e+00
5.000000000000000000e+00,3.172295774322900286e+01,5.882291099861706840e+01,-5.284535918616981021e-03,4.608116685298039101e+02,1.039635770035470808e-01,nan,6.971192895261082434e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.405385901912887903e+01,6.965799979022462196e+01,-4.611254785824470126e-03,3.954436237435117505e+02,1.213327113662829859e-01,nan,6.659269269772137179e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.747570449718068062e+02,6.938751269103369168e+01,-5.954976169800002897e-03,5.259038955822596790e+02,8.231511210463993145e-02,nan,2.005811573421676641e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.944191103719016667e+02,7.622903910025465279e+01,-5.776755837077251002e-03,5.086007006406022697e+02,7.605286244643894022e-02,nan,2.040982789832992239e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.574944885979826381e+02,7.960182393789594357e+01,-9.772613411120604013e-03,8.965536435314090795e+02,5.378846999351960534e-02,nan,1.894771186105490557e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.118362221500571252e+01,9.166244371402011382e+01,-4.897999520245572419e-03,4.232833206085188067e+02,1.480439541517505342e-01,nan,3.144003130789056133e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.159857837126619415e+02,9.510520337735820817e+01,-2.760950849101091818e-03,2.157998691319286877e+02,2.360493101077648648e-01,nan,7.053453828426230920e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.493116303835265057e+01,9.673416649276067858e+01,-8.486978157784258806e-03,7.717328833381700406e+02,4.258057754773825199e-02,nan,2.502183197688401961e+01,1.000000000000000000e+00
5.000000000000000000e+00,8.223567251548668366e+01,1.356540396409776577e+02,-7.651568596561035898e-03,6.906239869898663528e+02,6.562447263045356749e-02,nan,2.401133042270757656e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.579091497769561556e+02,1.436686149985135899e+02,-7.038295566736623744e-03,6.310820558005639214e+02,8.497098924170232159e-02,nan,1.079003295389280126e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.643609763891505793e+01,1.537348975406473812e+02,-4.373758296636939130e-03,3.723853789989913139e+02,1.445006018901271450e-01,nan,2.401133042270757656e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.748767791678886283e+02,3.575118340137073858e+01,-5.530772826980087480e-03,4.847185099218351638e+02,8.684966754683398626e-02,nan,1.856265914799999095e+01,1.000000000000000000e+00
