frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
6.000000000000000000e+00,2.240345028033373183e+02,2.708332223183775511e+01,-1.254658118904753220e-02,1.155315504984749168e+03,2.200229955515198288e-02,nan,2.974089948113934412e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.952934841698581749e+02,3.473021374782248216e+01,-2.514490251583373793e-03,2.472880659584438945e+02,2.329279184719444951e-01,nan,2.974089948113934412e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.424511270749102891e+02,4.391630436807692917e+01,-2.663422626927644705e-03,2.607682750409730374e+02,2.361146158383921057e-01,nan,5.363486705710676006e+01,1.000000000000000000e+00
1.800000000000000000e+01,9.326288331659173991e+01,4.680202248047359603e+01,-2.489530410058350771e-03,2.450288937559839724e+02,2.391285132150816617e-01,nan,6.309123382354837162e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.421606942568354270e+02,6.933389814807236817e+00,-3.512224431668736768e-03,3.375952629345637206e+02,1.730129489689234967e-01,nan,4.140846860953546837e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.624299158933563376e+02,4.304183656673048830e+01,-4.671319021354716772e-03,4.425075587283902792e+02,1.050982201296845053e-01,nan,3.501529538249043583e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.874557075527135055e+02,6.753225637827118533e+01,-1.306534817179104413e-02,1.202270288162887255e+03,1.889381372231435652e-02,nan,3.501529538249043583e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.845867780185084541e+02,1.125323595151985501e+02,-4.427536853577210794e-03,4.204422785323513381e+02,1.140332387118501156e-01,nan,4.343248343509277021e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.985480457323430130e+02,1.313049427946904189e+02,-1.178590495749106716e-02,1.086464963779129675e+03,5.408806761773454763e-02,nan,2.378065365135251241e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.770725986084400461e+02,1.415188871314309154e+02,-7.286017131150141629e-03,6.791698500955974396e+02,5.901391606016981317e-02,nan,2.378065365135251241e+01,1.000000000000000000e+00
3.500000000000000000e+01,4.055582575733249229e+01,1.135927157205367308e+02,-3.379727225729338338e-03,3.256026385318084522e+02,1.549722388084256997e-01,nan,3.410667448788106526e+01,1.000000000000000000e+00
3.600000000000000000e+01,7.173897126858093998e+01,9.977690301745687407e+01,-1.253936407104818025e-02,1.154662267168729159e+03,2.227239728118735052e-02,nan,3.410667448788106526e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.414771142248490889e+02,1.254707222946328784e+02,-1.242401615137551062e-02,1.144221863792176464e+03,2.806942727515060465e-02,nan,7.432079743945885753e+01,1.000000000000000000e+00
4.300000000000000000e+01,2.168208337061101432e+01,3.927937047220167699e+01,-5.162288068676024189e-03,4.869462873503061928e+02,7.743627016172582866e-02,nan,3.251003082409508238e+01,1.000000000000000000e+00
4.600000000000000000e+01,8.914456240051555369e+01,1.273401875609583698e+02,-1.933175325316274654e-03,1.946719257084726280e+02,3.050776013968715672e-01,nan,6.744035207625620387e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.933464059005117690e+02,8.876482489913675522e+01,-1.368714251460868489e-02,1.258550312758882910e+03,1.710634754861550810e-02,nan,2.254799126437835710e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.896513889121799536e+02,1.110079982229775339e+02,-1.078663558441265297e-02,9.960188129826566410e+02,3.070227867275177047e-02,nan,2.254799126437835710e+01,1.000000000000000000e+00
5.000000000000000000e+01,2.141462303798302571e+02,1.357565887521774357e+02,-1.259944603936816523e-02,1.160100423198746739e+03,2.200039448093416006e-02,nan,3.482082698195613091e+01,1.000000000000000000e+00
5.700000000000000000e+01,7.945448616872548087e+01,1.290004326661367884e+02,-2.985553630460280501e-03,2.899250871145536053e+02,1.977297028268369949e-01,nan,5.973979881189561070e+01,1.000000000000000000e+00
6.100000000000000000e+01,2.016139848004807078e+01,1.362924361239373923e+02,-1.444499583217997984e-02,1.327145345579209106e+03,2.149230631597631724e-02,nan,1.149015219916571695e+01,1.000000000000000000e+00
6.100000000000000000e+01,2.776603223500745088e+01,7.047960590010895032e+01,-2.521814203836954954e-03,2.479509735865570690e+02,2.466462364737972424e-01,nan,5.404822816857013379e+01,1.000000000000000000e+00
6.400000000000000000e+01,2.872023910220324083e+01,1.439585854027174037e+02,-1.246444637478208092e-02,1.147881295554505414e+03,3.036939296630258855e-02,nan,1.149015219916571695e+01,1.000000000000000000e+00
6.600000000000000000e+01,1.215432319147917752e+02,6.828688431716447838e+01,3.188955571625061783e-03,-3.083354608721425052e+02,1.699754951336616138e-01,nan,1.405003309373198483e+01,1.000000000000000000e+00
6.600000000000000000e+01,6.513643054229389406e+01,1.095265558260196883e+02,-1.323358964634423034e-02,1.217498207868642567e+03,2.630015015328690531e-02,nan,5.011689994175535645e+01,1.000000000000000000e+00
6.600000000000000000e+01,1.281975698561075205e+02,8.066118092334495771e+01,-3.218878058834991670e-03,3.110438134578495806e+02,1.472478774115405509e-01,nan,1.405003309373198483e+01,1.000000000000000000e+00
7.000000000000000000e+01,1.644276410514350175e+02,2.394186641534560778e+01,-1.934244787785819111e-03,1.947687251965762414e+02,3.214255912546483129e-01,nan,6.168916565906566518e+01,1.000000000000000000e+00
7.200000000000000000e+01,1.332094227332199239e+02,8.005579139606052763e+01,-3.149933459050672201e-03,3.048034804338475396e+02,3.015123246453899064e-01,nan,4.836694920016801902e+00,1.000000000000000000e+00
7.200000000000000000e+01,1.284060277968399362e+02,8.062237310638607823e+01,2.655289786287181111e-03,-2.600321530794793716e+02,3.295893838831097655e-01,nan,4.836694920016801902e+00,1.000000000000000000e+00
7.300000000000000000e+01,2.122165452580048495e+01,1.596567023068470803e+01,-1.253382288473035670e-02,1.154160721752852851e+03,2.527109726858145500e-02,nan,9.892400969858347537e+01,1.000000000000000000e+00
7.400000000000000000e+01,6.983168188480094329e+01,1.118816129796115888e+02,-1.254584954869338714e-02,1.155249282547053554e+03,3.084713161174601481e-02,nan,1.020632960576620718e+01,1.000000000000000000e+00
8.200000000000000000e+01,2.236731567135296643e+02,3.334817583775219418e+01,-1.279842885048848924e-02,1.178110811413739839e+03,1.904385600930924571e-02,nan,7.134114927662027128e+01,1.000000000000000000e+00
8.300000000000000000e+01,4.594430769289846950e+01,1.010724338574040893e+01,-1.062810693957392735e-02,9.816700236542371840e+02,2.501173548416923964e-02,nan,9.484733087961153331e+01,1.000000000000000000e+00
8.400000000000000000e+01,1.993014639052620396e+02,1.545940506573034270e+02,-1.275843336414788157e-02,1.174490728695106327e+03,1.970070047417649128e-02,nan,5.042387474669086345e+01,1.000000000000000000e+00
