frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.436331864773333393e+02,1.126289702818718155e+02,1.947944543652897938e-03,-1.547925743323113181e+02,3.675730139694725063e-01,nan,1.511672296218679357e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.131294411339116976e+02,4.164374190383349372e+01,-6.978191168377080589e-02,6.178229390409090229e+03,2.895235830874856031e-01,nan,5.910859526479985959e+01,1.000000000000000000e+00
7.000000000000000000e+00,8.953752819094701465e+01,1.108768881167841585e+02,3.283955990854486862e-03,-2.734260683921735335e+02,3.343634160604495031e-01,nan,4.365966183903338305e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.858653228815320233e+02,9.842733315473346067e+01,1.871575867336940872e-03,-1.480112829541083102e+02,3.731414233644744227e-01,nan,4.153665995571176950e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.720536408465986256e+02,4.630900957003512985e+01,1.841393798122959412e-03,-1.453312128571707831e+02,3.608066385161188272e-01,nan,5.391736467886226336e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.533190515725636374e+02,1.242349743518566640e+02,3.874973507192425951e-03,-3.259065117002105580e+02,2.513728634218236335e-01,nan,1.040156501229739305e+01,1.000000000000000000e+00
1.100000000000000000e+01,3.916040967132813932e+01,1.194481501429433479e+02,-3.530294448835425564e-02,3.116608654647202002e+03,1.038689631970624028e-02,nan,4.134680875053610549e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.242590170071648004e+01,6.343859129364262373e+01,-2.886216679452383721e-03,2.381081043616786985e+02,2.424191747690381815e-01,nan,2.541317687932752634e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.598938802734638287e+01,8.436269845252124355e+01,-1.585145132116180799e-02,1.389378993599704700e+03,2.327478015209616391e-02,nan,2.939556251337805293e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.561770710336717229e+02,1.025966662576862518e+02,-7.695129264865045032e-03,6.651239834777713895e+02,5.996352428846896121e-02,nan,1.793500715197686546e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.030921349834902685e+02,1.203761269095785025e+02,-6.001310345440385649e-03,5.147183435134249976e+02,6.837400539362459284e-02,nan,4.513351535511733204e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.710929308975738081e+02,9.263767002001770834e+01,3.728614023384896770e-03,-3.129102630608340974e+02,2.740429644398392206e-01,nan,1.793500715197686546e+01,1.000000000000000000e+00
1.500000000000000000e+01,4.781099198755871527e+00,1.471704776485377124e+02,-1.601103490652445744e-03,1.239942109746978787e+02,3.315245366409228511e-01,nan,4.416406266294973904e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.723215303776521523e+02,4.662698245811868958e+01,-2.774042173169558121e-03,2.281473711264614224e+02,2.776307249103238117e-01,nan,3.705016734701951719e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.574106572238518709e+02,1.270971897426094976e+01,-2.145232696129783546e-03,1.723111239779538835e+02,2.840033293612393983e-01,nan,3.705016734701951719e+01,1.000000000000000000e+00
1.700000000000000000e+01,2.914395595407660977e+01,1.183718086817411930e+01,3.227850995531886952e-03,-2.684441263262775124e+02,2.457103925181494120e-01,nan,4.720991482765468561e+01,1.000000000000000000e+00
1.700000000000000000e+01,7.348821760890119492e+01,8.038538097011507944e+01,-1.049190451460839911e-02,9.134685771353842938e+02,2.283447913548766195e-01,nan,2.541317687932752634e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.529288440496995349e+02,1.240539037168424983e+02,-3.194879964624540263e-03,2.655164054542092344e+02,2.219573805924811571e-01,nan,1.074383484083847229e+01,1.000000000000000000e+00
