frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,3.139876834932220717e+01,1.668508298848858118e+01,-5.005935777755568701e-03,3.905366200825545206e+02,1.260464303798730645e-01,nan,1.439977328561846903e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.006584372235569447e+02,1.846994511134404604e+01,-4.322232185203730981e-02,3.809493444796348740e+03,6.386781715502887202e-03,nan,2.243292114979679397e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.092089868805961572e+01,4.321459491177920142e+01,-4.365339496551280327e-03,3.332268832787497104e+02,1.679591246583620467e-01,nan,1.614048742298023598e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.528941986882809090e+01,4.323013234443801167e+01,-5.590654566986453036e-03,4.428473825678817661e+02,9.447569109715536761e-02,nan,6.546255027973211682e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.016258277548708691e+02,4.946694788031218337e+01,-7.919758844828964431e-03,6.512162992603639395e+02,1.594981409321492016e-01,nan,1.089452790792511649e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.286397569122888171e+02,6.174658865170957966e+01,-8.059761971503388508e-03,6.637414146518193547e+02,6.311684510079818011e-02,nan,1.627966132855961234e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.069542232187800153e+02,6.599707932297073398e+01,-4.716284528195672371e-03,3.646235179241030551e+02,2.062922986166544348e-01,nan,6.028215954465276916e+00,1.000000000000000000e+00
5.000000000000000000e+00,3.287937014806583136e+01,7.103447801982886745e+01,-8.185261052133343748e-03,6.749689529486403217e+02,4.969874908587501583e-02,nan,5.527890360980873830e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.419713429920611816e+02,1.101831819194540145e+02,-5.902230212419547727e-03,4.707219094082144579e+02,8.024127767841982006e-02,nan,1.519168095447762745e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.290741254173439359e+02,1.182111921992831896e+02,-1.036280998468683961e-02,8.697792568227733909e+02,3.540087762652821546e-02,nan,1.051329082350679300e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.833655804154537350e+01,1.213053517757599309e+02,-8.572643124550277660e-03,7.096253586508255466e+02,5.037750441485788766e-02,nan,1.728064117703707936e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.747107812057002008e+01,1.412550323777441861e+02,-1.615392520020948741e-02,1.387870445516815153e+03,1.422748473405888170e-02,nan,1.297041695423699537e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.712296841557701725e+02,1.409966130795399977e+02,-5.041174366449327308e-03,3.936891738869260848e+02,1.169314867581159323e-01,nan,2.154058932147940553e+01,1.000000000000000000e+00
5.000000000000000000e+00,2.061472845821502631e+02,1.413113750594947362e+02,-3.830415988851434105e-03,2.853709616383462730e+02,1.480594270232483689e-01,nan,1.405019199232928173e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.932397886923187968e+02,1.468615502707198459e+02,-5.006319303836423429e-03,3.905709315192519853e+02,1.075137623674504717e-01,nan,1.405019199232928173e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.199828411952781977e+02,1.557324746605400207e+02,-3.918244038068444124e-02,3.448073076562948700e+03,8.261579082116221606e-03,nan,3.576718644427064930e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.831345343372551042e+02,7.285704959610366416e+01,-7.829731601101688754e-03,6.431621818785354208e+02,5.927871420833263905e-02,nan,1.010374667211878297e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.598620616304594932e+01,1.398301947049128273e+02,-1.896082545694150606e-02,1.638984477345770529e+03,1.127572021967238047e-02,nan,2.324483977128606327e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.343501757987394996e+01,1.583745198031603536e+02,-5.231223838821812480e-03,4.106915911049799774e+02,2.325356495126310596e-01,nan,1.812858029695719964e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.241006711191838576e+02,1.582330045349113163e+02,-5.907008074125174799e-03,4.711493517847447947e+02,1.346031757780866700e-01,nan,2.467114979589371160e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.442376046880117428e+02,5.708455929337488044e+01,-1.700518207959473768e-02,1.464026534993767882e+03,1.627080643851253061e-02,nan,1.627966132855961234e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.501575252778569620e+02,1.365288274377912785e+02,-1.154055702518540227e-02,9.751441721256579740e+02,2.139847376190961992e-02,nan,2.154058932147940553e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.352924069727845335e+01,6.691455358965504807e+00,-6.896811908213235087e-02,6.112792583978109178e+03,1.247666280175074860e-02,nan,9.781309614482481152e+00,1.000000000000000000e+00
