nt,Ladder,raiA_02
10932.016663770684,0.2601893,0.1109181
10909.856599306826,0.254304,0.1148401
10887.709826299653,0.2549947,0.1176467
10865.576378477614,0.2365559,0.1430414
10843.45628960443,0.2196364,0.159292
10821.349593479123,0.2262761,0.1870384
10799.256323935879,0.2608926,0.1904922
10777.176514844032,0.2906795,0.1771149
10755.110200107949,0.2955463,0.1647988
10733.057413666897,0.2940076,0.145907
10711.0181894951,0.2868488,0.133939
10688.992561601503,0.2846632,0.1302837
10666.980564029769,0.2762457,0.1168885
10644.9822308582,0.2727622,0.1177964
10622.997596199675,0.2572884,0.10041
10601.026694201415,0.2426303,0.07587739
10579.06955904511,0.2386481,0.07256619
10557.126224946729,0.2677822,0.07709674
10535.196726156366,0.2874919,0.09904265
10513.281096958272,0.311882,0.1487534
10491.379371670708,0.3338648,0.175767
10469.491584645875,0.3429405,0.1825541
10447.61777026977,0.3559591,0.1647486
10425.757962962156,0.3918245,0.1438816
10403.912197176458,0.4048739,0.1308999
10382.080507399625,0.3785349,0.1094076
10360.262928152133,0.3314023,0.1261087
10338.459493987766,0.3049262,0.1612851
10316.670239493593,0.302729,0.1631826
10294.895199289893,0.2926049,0.160233
10273.134408029982,0.2937346,0.1422279
10251.387900400201,0.2829426,0.1576449
10229.65571111972,0.2482008,0.156737
10207.937874940542,0.2137703,0.1465669
10186.234426647326,0.2315197,0.1605077
10164.545401057305,0.2399774,0.1602266
10142.870833020195,0.2652001,0.1723694
10121.210757418068,0.2952894,0.1965378
10099.56520916531,0.3188882,0.1925394
10077.934223208407,0.3526058,0.191681
10056.31783452599,0.3996163,0.1665863
10034.716078128515,0.4082284,0.145238
10013.128989058365,0.3949547,0.1309085
9991.556602389652,0.3587498,0.112434
9969.998953228076,0.3266024,0.1115951
9948.456076710887,0.3051114,0.08981363
9926.928008006702,0.2999127,0.08373916
9905.414782315429,0.3035735,0.1123624
9883.916434868153,0.3054751,0.09838049
9862.433000927032,0.2952766,0.1177673
9840.964515785152,0.2924006,0.1297961
9819.511014766425,0.2859085,0.1409571
9798.072533225457,0.2722647,0.1661323
9776.649106547493,0.2743341,0.2179727
9755.240770148212,0.26452,0.2599552
9733.847559473628,0.2769965,0.264201
9712.469510000019,0.2822212,0.2287026
9691.106657233759,0.2928662,0.2088056
9669.75903671122,0.2952852,0.1575346
9648.426683998594,0.2867084,0.1155472
9627.109634691842,0.2773312,0.09471981
9605.807924416536,0.2911914,0.08176572
9584.521588827716,0.3122222,0.06939482
9563.250663609759,0.3471773,0.07964861
9541.995184476302,0.3440464,0.1084063
9520.755187170053,0.31082,0.1453928
9499.53070746272,0.2676509,0.1632607
9478.321781154751,0.2277596,0.1611996
9457.12844407539,0.2237595,0.1543577
9435.950732082418,0.2466862,0.1638766
9414.788681062002,0.2753301,0.1778265
9393.64232692864,0.2894122,0.1666142
9372.511705624986,0.2768359,0.1458944
9351.396853121674,0.2639003,0.1326521
9330.297805417269,0.2637087,0.1117292
9309.21459853802,0.2856963,0.1151467
9288.147268537801,0.3122904,0.1064284
9267.095851497907,0.3331215,0.1002406
9246.060383526996,0.347804,0.07396165
9225.040900760847,0.3403015,0.05350382
9204.037439362253,0.3474089,0.06200933
9183.050035520895,0.377647,0.07096443
9162.078725453155,0.4328834,0.07897601
9141.123545402033,0.4707015,0.09011994
9120.18453163691,0.4795053,0.0843953
9099.261720453434,0.4696923,0.09870332
9078.355148173421,0.4420618,0.09117197
9057.464851144585,0.4089758,0.1063199
9036.590865740507,0.3820533,0.108478
9015.733228360408,0.3671838,0.1052138
8994.891975428975,0.364641,0.1120074
8974.067143396296,0.34218,0.101172
8953.258768737578,0.3388298,0.08861025
8932.466887953091,0.3431205,0.07712236
8911.691537567945,0.3548864,0.05463293
8890.93275413193,0.3609176,0.05836085
8870.19057421943,0.3743208,0.07304495
8849.465034429119,0.388453,0.09585126
8828.756171383911,0.3718846,0.115269
8808.064021730763,0.3264888,0.117146
8787.38862214049,0.2946385,0.09104971
8766.730009307576,0.2797835,0.08181807
8746.088219950074,0.284361,0.07401267
8725.463290809363,0.3123886,0.06452735
8704.85525865,0.3436324,0.06664354
8684.264160259541,0.3614552,0.05085721
8663.690032448414,0.3690449,0.04731034
8643.132912049636,0.3664474,0.06045718
8622.592835918746,0.3725387,0.068427
8602.06984093357,0.3702427,0.07696897
8581.563963994033,0.3648119,0.0492258
8561.075242022003,0.3707959,0.04937992
8540.603711961088,0.372868,0.0623406
8520.149410776477,0.376752,0.06723625
8499.712375454728,0.3727868,0.07640621
8479.292643003582,0.3544958,0.08229079
8458.890250451814,0.3364881,0.07575449
8438.505234848968,0.3215702,0.07013527
8418.137633265262,0.3448133,0.06621356
8397.787482791324,0.3184498,0.08865416
8377.454820538003,0.2985578,0.08934804
8357.139683636231,0.3859376,0.08224989
8336.84210923677,0.5126967,0.0829289
8316.562134510015,0.6413286,0.08981931
8296.29979664585,0.714862,0.08613381
8276.055132853378,0.711729,0.07129215
8255.828180360786,0.6316124,0.05637712
8235.618976415097,0.4769349,0.04132803
8215.427558281974,0.4413022,0.03161356
8195.253963245523,0.5283263,0.04618387
8175.09822860812,0.5699545,0.0753672
8154.960391690098,0.5830997,0.07513483
8134.840489829684,0.5560393,0.07648268
8114.738560382644,0.5117429,0.0603756
8094.654640722224,0.4788059,0.03718404
8074.588768238759,0.4536233,0.02955696
8054.540980339618,0.4347679,0.03786374
8034.511314448892,0.4131811,0.05253622
8014.499808007237,0.3952594,0.05082981
7994.506498471584,0.3736425,0.06237359
7974.531423314984,0.3574124,0.07736013
7954.574620026378,0.3764721,0.08757851
7934.636126110339,0.404512,0.1156612
7914.715979086851,0.4310643,0.1485443
7894.814216491135,0.4452329,0.1726571
7874.930875873378,0.4580587,0.183385
7855.065994798488,0.4638767,0.1805428
7835.219610845933,0.4546862,0.1782945
7815.391761609427,0.4374711,0.1643702
7795.582484696761,0.4250251,0.1690734
7775.79181772952,0.4010119,0.1946645
7756.019798342894,0.3985329,0.2242542
7736.266464185399,0.4058849,0.2392096
7716.531852918666,0.4249943,0.2412818
7696.816002217205,0.4493385,0.2439298
7677.118949768122,0.4783432,0.2424954
7657.440733270921,0.4947626,0.2369768
7637.781390437224,0.5029293,0.2436461
7618.140958990574,0.5271891,0.2420007
7598.519476666144,0.5493146,0.2221401
7578.916981210463,0.5600699,0.1751546
7559.333510381267,0.5687082,0.138756
7539.769101947123,0.5630302,0.1149244
7520.223793687264,0.5579786,0.1142484
7500.697623391305,0.5631015,0.131665
7481.190628858961,0.5911877,0.147313
7461.702847899853,0.6405464,0.1629649
7442.234318333158,0.6681319,0.1449845
7422.785077987427,0.6806018,0.1182941
7403.355164700291,0.6940126,0.09419443
7383.944616318197,0.7364333,0.07417886
7364.5534706961325,0.799736,0.07758434
7345.181765697359,0.8816603,0.07049288
7325.82953919316,0.9468572,0.06232027
7306.496829062585,1.007614,0.06080882
7287.183673192123,1.037307,0.03347877
7267.890109475445,1.097364,0.02649437
7248.616175813165,1.169363,0.03002307
7229.361910112553,1.24353,0.05606921
7210.127350287191,1.258529,0.09609977
7190.912534256805,1.318954,0.105685
7171.717499946862,1.421021,0.1000451
7152.542285288382,1.56363,0.09317484
7133.386928217594,1.692534,0.08216224
7114.251466675671,1.832384,0.08040087
