wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
0.5,1,1,1,1,nan,1
1.5,0.999982,0.999996,1,1,0,1
2.5,0.999172,0.999989,1,1,0.666667,1
3.5,0.999927,0.999979,1,1,-1,1
4.5,0.999622,0.999972,0.999999,0.999999,0.1875,0.999999
5.5,0.999764,0.999967,0.999999,0.999998,0.424242,0.999999
6.5,0.999579,0.999964,0.999998,0.999997,0.046512,0.999998
7.5,0.999581,0.999959,0.999997,0.999997,-0.017544,0.999997
8.5,0.999477,0.999956,0.999993,0.999993,0.041667,0.999993
9.5,0.999217,0.999949,0.99999,0.999989,0.092391,0.99999
10.5,0.999278,0.999948,0.999986,0.999986,-0.0131,0.999986
11.5,0.999029,0.999942,0.999983,0.999983,0.017422,0.999983
12.5,0.998612,0.999925,0.999978,0.999978,-0.00277,0.999978
13.5,0.998662,0.999907,0.999975,0.999975,-0.002381,0.999975
14.5,0.998372,0.999893,0.999969,0.999969,-0.019342,0.999969
15.5,0.997951,0.999882,0.999965,0.999964,0.006689,0.999965
16.5,0.997345,0.999875,0.999958,0.999959,-0.020144,0.999958
17.5,0.997608,0.999855,0.999955,0.999953,0.034264,0.999955
18.5,0.996917,0.999828,0.999951,0.99995,0.01444,0.999951
19.5,0.996711,0.999812,0.999951,0.99995,0.027479,0.999951
20.5,0.99627,0.99979,0.999948,0.999948,-0.015029,0.999948
21.5,0.996388,0.99977,0.999947,0.999948,-0.013809,0.999947
22.5,0.995028,0.999735,0.999942,0.999946,-0.079383,0.999942
23.5,0.994843,0.999704,0.999941,0.999944,-0.058448,0.999941
24.5,0.993474,0.999675,0.999938,0.999946,-0.144432,0.999938
25.5,0.993357,0.999658,0.999935,0.999939,-0.079724,0.999935
26.5,0.992784,0.999637,0.999929,0.999932,-0.037424,0.999929
27.5,0.989995,0.999603,0.999919,0.999921,-0.025,0.999919
28.5,0.985961,0.99956,0.999898,0.999903,-0.058534,0.999898
29.5,0.985277,0.999496,0.99988,0.999883,-0.029096,0.99988
30.5,0.980531,0.999389,0.99986,0.999861,-0.007745,0.99986
31.5,0.97784,0.999249,0.999837,0.999834,0.017198,0.999837
